left,top,right,bottom,score,length,detection_type,confidence,poly
0,7651,4256,9564,1,-1,needs_review,1,
4256,7651,8512,9564,1,-1,needs_review,1,
8512,7651,12768,9564,1,-1,needs_review,1,
0,5738,4256,7651,1,-1,needs_review,1,
4256,5738,8512,7651,1,-1,needs_review,1,
8512,5738,12768,7651,1,-1,needs_review,1,
0,3826,4256,5738,1,-1,needs_review,1,
4256,3826,8512,5738,1,-1,needs_review,1,
8512,3826,12768,5738,1,-1,needs_review,1,
0,1913,4256,3826,1,-1,needs_review,1,
4256,1913,8512,3826,1,-1,needs_review,1,
8512,1913,12768,3826,1,-1,needs_review,1,
0,0,4256,1913,1,-1,needs_review,1,
4256,0,8512,1913,1,-1,needs_review,1,
8512,0,12768,1913,1,-1,needs_review,1,
11765,0,12769,9564,1,-1,suppressed,1,(poly) 12768 0 11765 55 11781 9564 12769 9563 12768 0
